date,rebalance_date,regime_state_at_rebalance,equity_return,cash_return,portfolio_return,transaction_cost,net_return,nav,benchmark_return,benchmark_nav,equity_exposure,cash_weight,vol_scale,loss_protection_scale,regime_state,is_oos
2024-01-19,2023-12-29,Risk-On,-0.0020634625703261997,9.523809523809524e-05,-0.0030951938554892996,0.0,-0.0030951938554892996,1.5543662103906022,-0.0015122779945794,0.9520690137113658,1.5,0.0,1.5,1.0,Risk-On,True
2024-01-22,2023-12-29,Risk-On,-0.021153329154628885,9.523809523809524e-05,-0.03172999373194332,0.0,-0.03172999373194332,1.505046180277764,-0.0155590766255171,0.9372556989742501,1.5,0.0,1.5,1.0,Risk-On,True
2024-01-23,2023-12-29,Risk-On,0.005214900107134386,9.523809523809524e-05,0.00782235016070158,0.0,0.00782235016070158,1.516819178507923,0.0040483685490726,0.9410500554684166,1.5,0.0,1.5,1.0,Risk-On,True
2024-01-24,2023-12-29,Risk-On,0.02610946988693436,9.523809523809524e-05,0.03916420483040154,0.0,0.03916420483040154,1.5762241955056886,0.0139780129717421,0.9542040653508128,1.5,0.0,1.5,1.0,Risk-On,True
2024-01-25,2023-12-29,Risk-On,0.03058393513191507,9.523809523809524e-05,0.0458759026978726,0.0,0.0458759026978726,1.64853490332874,0.0200817250839604,0.9733661290651853,1.5,0.0,1.5,1.0,Risk-On,True
2024-01-26,2023-12-29,Risk-On,0.009958544332323092,9.523809523809524e-05,0.014937816498484639,0.0,0.014937816498484639,1.6731604152060118,-0.0027214539963862,0.9707171579232938,1.5,0.0,1.5,1.0,Risk-On,True
2024-01-29,2023-12-29,Risk-On,0.0034480187694530652,9.523809523809524e-05,0.005172028154179598,0.0,0.005172028154179598,1.6818140479799162,-0.0089569587908026,0.9620224843422499,1.5,0.0,1.5,1.0,Risk-On,True
2024-01-30,2023-12-29,Risk-On,-0.01176087884850785,9.515873015873016e-05,-0.017641318272761775,0.0,-0.017641318272761775,1.6521446310839007,-0.0178336580547393,0.9448661043155194,1.5,0.0,1.5,1.0,Risk-On,True
2024-01-31,2023-12-29,Risk-On,-0.00627672606388336,9.476190476190476e-05,-0.00941508909582504,0.0,-0.00941508909582504,1.636589542183057,-0.0091483962887716,0.9362220947534132,1.5,0.0,1.5,1.0,Risk-On,True
2024-02-01,2024-01-31,Risk-On,-0.008328570841238853,9.424603174603175e-05,-0.008649851270572698,0.001534495517630687,-0.010184346788203385,1.6199219467355177,0.0007336988755008,0.9369089998515528,1.0385756974945841,0.0,1.0385756974945841,1.0,Risk-On,True
2024-02-02,2024-01-31,Risk-On,-0.001619445117589855,9.400793650793652e-05,-0.0016819163425550823,0.0,-0.0016819163425550823,1.6171973735396397,-0.0118355256838021,0.9258201893204244,1.0385756974945841,0.0,1.0385756974945841,1.0,Risk-On,True
2024-02-05,2024-01-31,Risk-On,0.005495083053392098,9.325396825396825e-05,0.005707059714967367,0.0,0.005707059714967367,1.6264268155213186,0.0065398224622279,0.9318748889905263,1.0385756974945841,0.0,1.0385756974945841,1.0,Risk-On,True
2024-02-06,2024-01-31,Risk-On,0.0208421531440125,9.305555555555556e-05,0.02164615373883172,0.0,0.02164615373883172,1.6616327004150515,0.0347674172198175,0.9642737720527311,1.0385756974945841,0.0,1.0385756974945841,1.0,Risk-On,True
2024-02-07,2024-01-31,Risk-On,0.01279028531485391,9.293650793650794e-05,0.013283679492029136,0.0,0.013283679492029136,1.6837052966408401,0.0096440424022496,0.973573269197785,1.0385756974945841,0.0,1.0385756974945841,1.0,Risk-On,True
2024-02-08,2024-01-31,Risk-On,0.0007525946297882902,9.261904761904762e-05,0.0007816264925630518,0.0,0.0007816264925630518,1.6850213253063633,0.0063701420578705,0.9797750692263203,1.0385756974945841,0.0,1.0385756974945841,1.0,Risk-On,True
2024-02-19,2024-01-31,Risk-On,0.015261411728244276,9.138888888888889e-05,0.015850131330413325,0.0,0.015850131330413325,1.7117291346070163,0.0115539115126237,0.991095303678436,1.0385756974945841,0.0,1.0385756974945841,1.0,Risk-On,True
2024-02-20,2024-01-31,Risk-On,0.00672717949989134,9.007936507936508e-05,0.006986685141270916,0.0,0.006986685141270916,1.7236884471176557,0.0020701521396127,0.993147021741906,1.0385756974945841,0.0,1.0385756974945841,1.0,Risk-On,True
2024-02-21,2024-01-31,Risk-On,0.01027753302112985,8.90079365079365e-05,0.010673996025943554,0.0,0.010673996025943554,1.7420870907521546,0.0134913711644431,1.0065459368330874,1.0385756974945841,0.0,1.0385756974945841,1.0,Risk-On,True
2024-02-22,2024-01-31,Risk-On,0.01057645974129549,8.805555555555555e-05,0.010984454052839352,0.0,0.010984454052839352,1.7612229663565664,0.0086214953967189,1.01522386799408,1.0385756974945841,0.0,1.0385756974945841,1.0,Risk-On,True
2024-02-23,2024-01-31,Risk-On,0.0004598808519480668,8.785714285714286e-05,0.00047762107657636706,0.0,0.00047762107657636706,1.7620641635658487,0.000879606003967,1.0161168650037382,1.0385756974945841,0.0,1.0385756974945841,1.0,Risk-On,True
2024-02-26,2024-01-31,Risk-On,-0.01711597042072997,8.761904761904762e-05,-0.0177762309180063,0.0,-0.0177762309180063,1.7307413041019586,-0.0104257289422231,1.0055231059955876,1.0385756974945841,0.0,1.0385756974945841,1.0,Risk-On,True
